file,organization,doctype_code,matched
Sở Tư pháp Tỉnh Lai Châu_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPP(...) copy.xlsx,Sở Tư pháp Tỉnh Lai Châu,01b,True
Sở Tư pháp Tỉnh Lai Châu_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPP(...).xlsx,Sở Tư pháp Tỉnh Lai Châu,01b,True
Sở Tư pháp Tỉnh Lai Châu_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL b(...).xlsx,Sở Tư pháp Tỉnh Lai Châu,01c,True
Sở Tư pháp Tỉnh Lai Châu_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...).xlsx,Sở Tư pháp Tỉnh Lai Châu,05c,True
Sở Tư pháp Tỉnh Lai Châu_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...).xlsx,Sở Tư pháp Tỉnh Lai Châu,09b,True
Sở Tư pháp Tỉnh Lai Châu_11b_TP_LSTN_Số tổ chức và kết quả hoạt động của cá(...).xlsx,Sở Tư pháp Tỉnh Lai Châu,11b,True
Sở Tư pháp Tỉnh Lào Cai_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPPL(...) copy.xlsx,Sở Tư pháp Tỉnh Lào Cai,01b,True
Sở Tư pháp Tỉnh Lào Cai_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPPL(...).xlsx,Sở Tư pháp Tỉnh Lào Cai,01b,True
Sở Tư pháp Tỉnh Lào Cai_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL ba(...) copy 2.xlsx,Sở Tư pháp Tỉnh Lào Cai,01c,True
Sở Tư pháp Tỉnh Lào Cai_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL ba(...) copy.xlsx,Sở Tư pháp Tỉnh Lào Cai,01c,True
Sở Tư pháp Tỉnh Lào Cai_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL ba(...).xlsx,Sở Tư pháp Tỉnh Lào Cai,01c,True
"Sở Tư pháp Tỉnh Lào Cai_02a_TP_KTTTQ_Kết quả kiểm tra, xử lý văn bản theo t(...).xlsx",Sở Tư pháp Tỉnh Lào Cai,02a,True
Sở Tư pháp Tỉnh Lào Cai_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo dục ph(...) copy.xlsx,Sở Tư pháp Tỉnh Lào Cai,04c,True
Sở Tư pháp Tỉnh Lào Cai_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo dục ph(...).xlsx,Sở Tư pháp Tỉnh Lào Cai,04c,True
Sở Tư pháp Tỉnh Lào Cai_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở;(...).xlsx,Sở Tư pháp Tỉnh Lào Cai,05c,True
Sở Tư pháp Tỉnh Lào Cai_08b_TP_CNTN_Kết quả đăng ký nuôi con nuôi trong nướ(...) copy.xlsx,Sở Tư pháp Tỉnh Lào Cai,08b,True
Sở Tư pháp Tỉnh Lào Cai_08b_TP_CNTN_Kết quả đăng ký nuôi con nuôi trong nướ(...).xlsx,Sở Tư pháp Tỉnh Lào Cai,08b,True
